Number,Title,Small Description,Components
1,THE ORIGINS OF MODERN MILITARISM: LESSONS FROM HISTORY,An introduction to the history of the formation of the ideology and practices of modern militarism.,"Video, Presentation, Selected readings/Key Concepts"
2,MILITARISM IN THE 20TH AND 21ST CENTURIES: FORGOTTEN LESSONS OF MODERN HISTORY,How militarism has caught hundreds of millions of people in its web and how it serves to maintain modern political and economic systems.,"Video, Presentation, Selected readings/Key Concepts"
3,Militaristic Ideologies and Traditions in the Russian Empire and the Soviet Union,,"Video, Presentation, Selected readings/Key Concepts"
4,MILITARISM IN THE PERIOD OF LIBERAL PEACEBUILDING,"How extensive was the ""demilitarization"" after the end of the Cold War and was there any hope for an “end of history” in terms of wars and militarism?",
5,WHAT IS MILITARISM? SOME THEORY,The academic tradition of critical studies of militarism. We will learn about the principle researchers and their views.,
6,MILITARISM AND THE PROBLEM OF VIOLENCE,The relationship between militarism and violence is more complex than it seems at first glance. How various forms of violence manifest in everyday life in militaristic symbols and practices.,
7,MILITARISM IN THE LANGUAGE OF EVERYDAY LIFE,The pervasiveness of militarism and how we discursively reproduce it without even realizing it.,
8,WHAT HISTORY ARE WE TAUGHT? MILITARISM IN CONCEPTIONS OF THE PAST,How our national histories are written in such a way as to justify wars and glorify militaristic violence.,
9,MILITARISM LANDSCAPES,"How militarism is reflected in historical architectural heritage, sites of remembrance, and memorial landscapes.",
10,MILITARISM AND THE MAP,"How maps are often a tool of war, reinforcing nationalistic ideas and visualizing myths about ""historical territories"".",